decisionVersion,exampleId,recordSha256,split,decision,reviewer,reviewedAt,notes
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_clean_002_001,9f11732d1d6fca39b1a2a5940c6605d9a376098f97580c7edca7fb4a808bb47a,train,adjudicate,bezovskii,2026-09-09T13:55:16+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_clean_003_001,a05042d4f4d96bc9c2a15cfc6ea752ddbe1c58dc86702729e4c35ef9689fcc67,train,adjudicate,bezovskii,2026-09-09T13:55:16+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_clean_004_001,71a01111a6a09105c045880f01f866451dfdd5d2bfad06676d024156816ff044,train,adjudicate,bezovskii,2026-09-09T13:55:16+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_contradictory_acceptance_term_001,c5e85d7deb18a88ed9976089c6b761266a1e78227c24c29323bf3259e2492c81,train,adjudicate,bezovskii,2026-09-09T13:55:16+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_contradictory_currency_001,aafb933639d459df728b6e10b5ce017d2da9ce415bdac48b113626311925e579,train,adjudicate,bezovskii,2026-09-09T13:55:16+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_contradictory_deadline_001,1de59db0cded0a2c9c2f54ea92455bf2c7eeb9ea58c0d859a38b90734752aa88,train,adjudicate,bezovskii,2026-09-09T16:03:49+00:00,"Human semantic review: contradiction isolation, uncontested-field preservation, exact evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_contradictory_price_001,b9d742365c571e4720ed8e14ff746538ad8cb41c2086dba2b33abb3c2de47b77,train,adjudicate,bezovskii,2026-09-09T16:03:49+00:00,"Human semantic review: contradiction isolation, uncontested-field preservation, exact evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_contradictory_revision_term_001,68aa938ad5f30a2b19e9e35a61db53740b67a021a1e6bfed2a2d7bc5b63da6c3,train,adjudicate,bezovskii,2026-09-09T16:03:49+00:00,"Human semantic review: contradiction isolation, uncontested-field preservation, exact evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_contradictory_scope_001,dfbc7feaf4f195394ff1b768d95456f4ebf663d02464bf1a10783d95729feda3,train,adjudicate,bezovskii,2026-09-09T16:03:49+00:00,"Human semantic review: contradiction isolation, uncontested-field preservation, exact evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_contradictory_settlement_asset_001,42baa1a2a8b55827e3252ad29a2a11f9e5306cda3d0c7e3c3f16accbdbb2dace,train,adjudicate,bezovskii,2026-09-09T16:03:49+00:00,"Human semantic review: contradiction isolation, uncontested-field preservation, exact evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_contradictory_settlement_network_001,27c22ee2e9857f6c44d0b20e17db7c2869856681cf47cdc0656df0f250f5859d,train,adjudicate,bezovskii,2026-09-09T19:09:20+00:00,"Human semantic review: missing-term handling, source grounding, exact provenance, uncontested-field preservation, and target fields verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_missing_acceptance_authority_001,622971a1d97f34b7aca421fbe4f495a64ce8bce0abc6bbb4b8944e6a7e4f33f9,train,adjudicate,bezovskii,2026-09-09T19:09:20+00:00,"Human semantic review: missing-term handling, source grounding, exact provenance, uncontested-field preservation, and target fields verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_missing_currency_001,2c32fd4476f50129f706c39f1199a16df336c77804915f3301504459c84b0324,train,adjudicate,bezovskii,2026-09-09T19:09:20+00:00,"Human semantic review: missing-term handling, source grounding, exact provenance, uncontested-field preservation, and target fields verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_missing_deadline_001,67919b4f94534d8bc351d6e0844dcdb812b3a757775dc98f120c4164b2149455,train,adjudicate,bezovskii,2026-09-09T19:09:20+00:00,"Human semantic review: missing-term handling, source grounding, exact provenance, uncontested-field preservation, and target fields verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_missing_deliverable_001,5d73ea1bc8a482d09c4fb819e107434c405288c029ed59f663d07b01e8ff93b5,train,adjudicate,bezovskii,2026-09-09T19:09:20+00:00,"Human semantic review: missing-term handling, source grounding, exact provenance, uncontested-field preservation, and target fields verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_missing_party_001,231ac3b017b834084211e6ddd0c813c4c5c441207bfacaaf0cf02f170da47ded,train,adjudicate,bezovskii,2026-09-09T20:16:02+00:00,"Human semantic review: missing-term behavior, known-but-unnamed party preservation, unresolved payment recipient, exact source grounding, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_missing_payment_trigger_001,21ab6f7bbeb68fac14460895b4e98c6950b96f727accf338588f146309770241,train,adjudicate,bezovskii,2026-09-09T20:16:02+00:00,"Human semantic review: missing-term behavior, known-but-unnamed party preservation, unresolved payment recipient, exact source grounding, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_missing_price_001,cb9955c98f99543be9e1ca31c52284898ac1e7f7d9a6821fb8def729953f59ba,train,adjudicate,bezovskii,2026-09-09T20:16:02+00:00,"Human semantic review: missing-term behavior, known-but-unnamed party preservation, unresolved payment recipient, exact source grounding, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_missing_scope_001,41f21b68832a461d0f889f3293a7464644a029edfa4b3eac630d24c227f60086,train,adjudicate,bezovskii,2026-09-10T10:36:44+00:00,"Explicit human re-review after Batch 6 provenance repair: milestone description provide services is source-grounded; MISSING_SCOPE semantics, empty scope deliverables, acceptance, deadline, pricing, and provenance verified unchanged except for the added milestone-description provenance."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_missing_settlement_asset_001,6a333fa0383358dff6227e58c9535f797ae0d0fd2d4df773d328f78b841812ac,train,adjudicate,bezovskii,2026-09-09T20:16:02+00:00,"Human semantic review: missing-term behavior, known-but-unnamed party preservation, unresolved payment recipient, exact source grounding, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_missing_settlement_network_001,deb53c898d4c3500aab1472301c848ed0a4ee0238f53954d905f67337d8988c2,train,adjudicate,bezovskii,2026-09-09T20:36:29+00:00,"Human semantic review: multi-issue composition, exact source grounding, unresolved fields, preserved known settlement facts, payment timing, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_multi_ambiguous_asset_unresolved_payment_party_001,84a4e18a2aaf4b33cda6a2989b795a780d300a5e44cf2820875095e51efa99ed,train,adjudicate,bezovskii,2026-09-09T20:36:29+00:00,"Human semantic review: multi-issue composition, exact source grounding, unresolved fields, preserved known settlement facts, payment timing, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_multi_contradictory_scope_missing_currency_001,33239b49a2f002fb4d2e17e1e691957a735c05c5c4396bd37b633224295b441b,train,adjudicate,bezovskii,2026-09-09T20:36:29+00:00,"Human semantic review: multi-issue composition, exact source grounding, unresolved fields, preserved known settlement facts, payment timing, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_multi_missing_deliverable_ambiguous_authority_unresolved_asset_001,487bafc8d1940821217d142353328a11daeb9fb896fcffe6248174392503609f,train,adjudicate,bezovskii,2026-09-09T20:36:29+00:00,"Human semantic review: multi-issue composition, exact source grounding, unresolved fields, preserved known settlement facts, payment timing, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_multi_missing_price_ambiguous_deadline_001,2c0e061be3e1df3c558b71b78eafde145a9cfcd8677c4d80d538045737036c0d,train,adjudicate,bezovskii,2026-09-09T20:36:29+00:00,"Human semantic review: multi-issue composition, exact source grounding, unresolved fields, preserved known settlement facts, payment timing, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_multi_missing_scope_acceptance_authority_001,4a885d686534d2eaf524dacf5f0e75a211da5442336f2f01d2cf914d3427a871,train,adjudicate,bezovskii,2026-09-10T06:58:56+00:00,"Human semantic review: exact source grounding, unresolved-reference isolation, acceptance authority, milestone linkage, payment-party semantics, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_multi_unsupported_conditional_unresolved_milestone_001,04626a0e1aa8230d53d4353a03423da597192764d9b5d5ae766d0811e32d9a2a,train,adjudicate,bezovskii,2026-09-10T06:58:56+00:00,"Human semantic review: exact source grounding, unresolved-reference isolation, acceptance authority, milestone linkage, payment-party semantics, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_unresolved_milestone_reference_001,a8ef9dcd4bf76b3b76bdd65ae8ab7d77a31cdd0876f66cc647d932f9d2fa5f09,train,adjudicate,bezovskii,2026-09-10T06:58:56+00:00,"Human semantic review: exact source grounding, unresolved-reference isolation, acceptance authority, milestone linkage, payment-party semantics, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_unresolved_party_reference_001,2b7d84ecd7ff23637c6c800af177e73a5014c9171f5bd7a2f2616d4ff27cb798,train,adjudicate,bezovskii,2026-09-10T06:58:56+00:00,"Human semantic review: exact source grounding, unresolved-reference isolation, acceptance authority, milestone linkage, payment-party semantics, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_unresolved_payment_party_001,1e9ab9f72ee8486f3684c8fe20ba4483bf625799f3aad0e850cf07bbda0395bc,train,adjudicate,bezovskii,2026-09-10T06:58:56+00:00,"Human semantic review: exact source grounding, unresolved-reference isolation, acceptance authority, milestone linkage, payment-party semantics, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_unresolved_pronoun_001,fb2a4295af636c792aa0ecc138d1793052e2010d09b55a668f4837cdd7df72d6,train,adjudicate,bezovskii,2026-09-10T09:28:18+00:00,"Human semantic review: unresolved references, unsupported-term boundaries, representable sub-terms, payment semantics, settlement identifiers, source grounding, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_unresolved_settlement_asset_001,f980ca04d066274a2c04142cd434822838dd99558f2d55bddefe9494f8d4a78e,train,adjudicate,bezovskii,2026-09-10T09:28:18+00:00,"Human semantic review: unresolved references, unsupported-term boundaries, representable sub-terms, payment semantics, settlement identifiers, source grounding, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_unresolved_settlement_network_001,da80fb8fc2553ed2cdc0daa37c72274f31c313fe0543821a5dd4deaa92051961,train,adjudicate,bezovskii,2026-09-10T09:28:18+00:00,"Human semantic review: unresolved references, unsupported-term boundaries, representable sub-terms, payment semantics, settlement identifiers, source grounding, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_unsupported_conditional_logic_001,177193b220a61ae6d9b95e095d613006d6b2cdc95c24f6407d5210d968a16370,train,adjudicate,bezovskii,2026-09-10T09:28:18+00:00,"Human semantic review: unresolved references, unsupported-term boundaries, representable sub-terms, payment semantics, settlement identifiers, source grounding, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_unsupported_dynamic_pricing_001,130608297e75213e319661eb6a7ec63d94d0c26ce8afa71f773aa438471508fc,train,adjudicate,bezovskii,2026-09-10T09:28:18+00:00,"Human semantic review: unresolved references, unsupported-term boundaries, representable sub-terms, payment semantics, settlement identifiers, source grounding, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_unsupported_multicurrency_total_001,754c7c7befaca1609abf620e0093b7af82f0c1ec019dad1c3b1e73d3bd286040,train,adjudicate,bezovskii,2026-09-10T09:28:18+00:00,"Human semantic review: unresolved references, unsupported-term boundaries, representable sub-terms, payment semantics, settlement identifiers, source grounding, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_unsupported_recurring_retainer_001,4fac9f44fcd3b4c6181e7353f1dddb417525f395845bb907f4948d51e949340b,train,adjudicate,bezovskii,2026-09-10T09:28:18+00:00,"Human semantic review: unresolved references, unsupported-term boundaries, representable sub-terms, payment semantics, settlement identifiers, source grounding, and provenance verified."
